,,,HOW TO USE THIS FILE
,,,Above the below table are indicated the sample sizes of the null hypotheses used to generate it
,,,as well as the number of independent simulations of the null hypothesis used.
,,,"To find the p-value corresponding to your MIC score, look for the largest number less than your"
,,,score in the left-hand column. The p-value of your score is at most the number in the middle
,,,column of that row + the uncertainty listed in the right column of the same row.

,,,**Note that these p-values are uncorrected. This means that you must correct the p-value you
,,,obtain here to account for the number of tests you performed. We suggest doing this by
,,,controlling the false discovery rate.

n = 35, numTrials = 30000000
MIC >= x,gives p <= y,+/- (with 95% confidence)
0.655060,0.000502481,0.000008019
0.654970,0.000516567,0.000008131
0.654890,0.000517848,0.000008141
0.654430,0.000518616,0.000008147
0.654400,0.000519896,0.000008157
0.654070,0.000545251,0.000008354
0.653870,0.000549349,0.000008385
0.653480,0.000555751,0.000008434
0.653380,0.000556008,0.000008436
0.652870,0.000560874,0.000008472
0.652790,0.000561386,0.000008476
0.652490,0.000561898,0.000008480
0.652120,0.000568557,0.000008530
0.651500,0.000572654,0.000008561
0.651460,0.000573935,0.000008570
0.651300,0.000581106,0.000008624
0.651260,0.000583155,0.000008639
0.651020,0.000590838,0.000008696
0.650930,0.000601082,0.000008771
0.650920,0.000605436,0.000008802
0.650230,0.000612095,0.000008851
0.650190,0.000612863,0.000008856
0.649950,0.000613119,0.000008858
0.649370,0.000613375,0.000008860
0.648990,0.000613888,0.000008864
0.648710,0.000614912,0.000008871
0.648450,0.000615680,0.000008876
0.648170,0.000617473,0.000008889
0.647870,0.000617985,0.000008893
0.647820,0.000620034,0.000008908
0.647790,0.000626949,0.000008957
0.647370,0.000627205,0.000008959
0.647250,0.000628486,0.000008968
0.646790,0.000635913,0.000009021
0.646760,0.000636169,0.000009023
0.646590,0.000637193,0.000009030
0.646470,0.000637449,0.000009032
0.646290,0.000639498,0.000009046
0.646130,0.000639754,0.000009048
0.646100,0.000643852,0.000009077
0.645590,0.000644877,0.000009084
0.645470,0.000646157,0.000009093
0.645180,0.000654352,0.000009151
0.645110,0.000662292,0.000009206
0.645060,0.000663060,0.000009211
0.645010,0.000663316,0.000009213
0.644940,0.000665877,0.000009231
0.644650,0.000668694,0.000009250
0.644480,0.000670231,0.000009261
0.644400,0.000681500,0.000009339
